Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,981,Very HDI country,2,1,238018,2022,238018,0,0
20,Breast,981,Very HDI country,2,1,238018,2025,249081,11063,4.648
20,Breast,981,Very HDI country,2,1,238018,2030,270498,32480,13.646
20,Breast,981,Very HDI country,2,1,238018,2035,291907,53889,22.6407
20,Breast,981,Very HDI country,2,1,238018,2040,310550,72532,30.4733
20,Breast,981,Very HDI country,2,1,238018,2045,325629,87611,36.8086
20,Breast,981,Very HDI country,2,1,238018,2050,337474,99456,41.7851
20,Breast,982,High HDI country,2,1,181927,2022,181927,0,0
20,Breast,982,High HDI country,2,1,181927,2025,197192,15265,8.3907
20,Breast,982,High HDI country,2,1,181927,2030,222608,40681,22.3612
20,Breast,982,High HDI country,2,1,181927,2035,246468,64541,35.4763
20,Breast,982,High HDI country,2,1,181927,2040,266478,84551,46.4752
20,Breast,982,High HDI country,2,1,181927,2045,283279,101352,55.7103
20,Breast,982,High HDI country,2,1,181927,2050,297577,115650,63.5695
20,Breast,983,Medium HDI country,2,1,138576,2022,138576,0,0
20,Breast,983,Medium HDI country,2,1,138576,2025,153103,14527,10.4831
20,Breast,983,Medium HDI country,2,1,138576,2030,178216,39640,28.6052
20,Breast,983,Medium HDI country,2,1,138576,2035,205420,66844,48.2363
20,Breast,983,Medium HDI country,2,1,138576,2040,234181,95605,68.991
20,Breast,983,Medium HDI country,2,1,138576,2045,263980,125404,90.4947
20,Breast,983,Medium HDI country,2,1,138576,2050,293793,155217,112.0086
20,Breast,984,Low HDI country,2,1,58493,2022,58493,0,0
20,Breast,984,Low HDI country,2,1,58493,2025,64649,6156,10.5243
20,Breast,984,Low HDI country,2,1,58493,2030,76835,18342,31.3576
20,Breast,984,Low HDI country,2,1,58493,2035,91287,32794,56.0648
20,Breast,984,Low HDI country,2,1,58493,2040,108315,49822,85.176
20,Breast,984,Low HDI country,2,1,58493,2045,128327,69834,119.3886
20,Breast,984,Low HDI country,2,1,58493,2050,151531,93038,159.0583
