Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Risk change,Risk percentage (%)
20,Breast,981,Very HDI country,2,0,74665,2022,74665,0,0
20,Breast,981,Very HDI country,2,0,74665,2025,74304,-361,-0.4835
20,Breast,981,Very HDI country,2,0,74665,2030,70896,-3769,-5.0479
20,Breast,981,Very HDI country,2,0,74665,2035,68308,-6357,-8.514
20,Breast,981,Very HDI country,2,0,74665,2040,67948,-6717,-8.9962
20,Breast,981,Very HDI country,2,0,74665,2045,68602,-6063,-8.1203
20,Breast,981,Very HDI country,2,0,74665,2050,67252,-7413,-9.9283
20,Breast,982,High HDI country,2,0,87293,2022,87293,0,0
20,Breast,982,High HDI country,2,0,87293,2025,88309,1016,1.1639
20,Breast,982,High HDI country,2,0,87293,2030,79211,-8082,-9.2585
20,Breast,982,High HDI country,2,0,87293,2035,74185,-13108,-15.0161
20,Breast,982,High HDI country,2,0,87293,2040,74614,-12679,-14.5246
20,Breast,982,High HDI country,2,0,87293,2045,77049,-10244,-11.7352
20,Breast,982,High HDI country,2,0,87293,2050,75980,-11313,-12.9598
20,Breast,983,Medium HDI country,2,0,51744,2022,51744,0,0
20,Breast,983,Medium HDI country,2,0,51744,2025,54302,2558,4.9436
20,Breast,983,Medium HDI country,2,0,51744,2030,57259,5515,10.6582
20,Breast,983,Medium HDI country,2,0,51744,2035,59554,7810,15.0935
20,Breast,983,Medium HDI country,2,0,51744,2040,60906,9162,17.7064
20,Breast,983,Medium HDI country,2,0,51744,2045,60665,8921,17.2406
20,Breast,983,Medium HDI country,2,0,51744,2050,60086,8342,16.1217
20,Breast,984,Low HDI country,2,0,32255,2022,32255,0,0
20,Breast,984,Low HDI country,2,0,32255,2025,35546,3291,10.2031
20,Breast,984,Low HDI country,2,0,32255,2030,41129,8874,27.512
20,Breast,984,Low HDI country,2,0,32255,2035,47397,15142,46.9447
20,Breast,984,Low HDI country,2,0,32255,2040,54143,21888,67.8592
20,Breast,984,Low HDI country,2,0,32255,2045,60808,28553,88.5227
20,Breast,984,Low HDI country,2,0,32255,2050,67139,34884,108.1507
